1,7.25,-0.025
2,6.249,-0.025
3,5.243,-0.026
4,4.235,-0.026
5,3.222,-2.54
6,2.209,-2.541
7,1.874,2.49
8,1.528,-5.042
9,1.194,-2.541
10,0.859,2.49
11,0.513,-5.042
12,0.178,-2.541
13,-0.161,2.49
14,-0.499,-5.042
15,-0.838,-0.026
16,-1.177,2.49
17,-1.514,-5.042
18,-1.853,-0.026
19,-2.191,4.998
20,-2.529,-2.541
21,-2.867,-0.026
22,-3.204,4.998
23,-3.541,-2.54
24,-3.879,-0.026
25,-4.212,4.997
26,-4.554,-2.54
27,-4.888,2.49
28,-5.219,4.997
29,-5.56,-2.539
30,-5.893,2.49
31,-6.894,2.49
32,-7.89,2.49
33,-8.88,-0.024
34,-9.864,-0.023
35,-10.841,-0.023
36,-11.81,-0.022
37,-12.767,-2.528
38,-13.718,-2.526
39,-14.659,-2.523
40,-15.589,-2.521
