0  070000000 00
1  040000000 00
9  020010001 00
10 020010001 01
11 020010002 01
12 010010001 01
13 020010005 05
14 020020000 00
15 060120000 00
16 060120000 00
17 060100000 00
18 010040001 00
19 010010005 00
20 060030001 01
21 060030002 01
22 060030000 01
23 060030004 01
24 060030005 01
25 060030006 01
26 060030007 01
27 060010000 00
28 060040000 00
29 060080003 00
30 060160000 00
31 060180001 00
32 060050001 00
33 010010002 00
34 050020000 00
35 050050000 00
36 060110000 00
37 050060005 00
38 060020000 00
39 060050000 00
40 010010000 00
41 060070000 00
42 080010000 00
43 060000000 00
44 060020000 00
45 060000000 00
46 060090000 00
47 060050000 00
50 050000000 00
51 050000000 00
90 030000000 00
91 030000000 00
92 030000000 00
93 030000000 00
99 040000000 00
100 040000000 00
101 040000000 00
102 040000000 00
103 040000000 00
104 040000000 00
105 040000000 00
106 040000000 00
107 040000000 00
108 040000000 00
109 040000000 00
110 040000000 00
111 040000000 00
112 040000000 00
113 040000000 00
114 040000000 00
115 040000000 00
116 040000000 00
117 040000000 00
118 040000000 00
119 040000000 00
120 040000000 00
121 040000000 00
150 070000000 00
151 070000000 00
152 070000000 00
153 070000000 00
154 070000000 00
155 070000000 00
180 040090001 00
181 040090002 00
182 040090003 00
183 040090004 00
184 040090005 00
185 040090006 00
186 040090007 00
187 040090008 00
188 040090009 00
189 040090010 00
190 040090011 00
191 040090012 00
