01000000000		10	50	0.1
01001000000		10	50	0.12
01002000000		1	5	0.1
01003000000		20	40	0.1
01004000000		10	20	0.1
02000000000		50	100	0.1
02004000000		50	100	0.1
02005000000		20	60	0.1
03000000000     10	50  0.1
04000000000		80	120	0.1
05000000000		20	50	0.1
05005000000		30	60	0.1
06000000000		50	80	0.1
06001000000		70	160	0.1
06002000000		70	160	0.1
06003000000		130	230	0.02
06004000000		30	60	0.1
06005000000		70	160	0.1
06006000000		10	20	0.1
06007000000		60	90	0.1
06008000000		70	120	0.1
06009000000		30	50	0.1
06010000000		10	40	0.1
06011000000		40	80	0.1
07000000000		10	35	0.5
08000000000		8	30	0.5
09000000000		0	0	0
04009000100		10	30	0.1
04009000200		1	3	0.1
04009000300		6	18	0.1
04009000400		10	25	0.1
04009000500		50	80	0.1
04009000600		20	40	0.1
04009000700		1	3	0.1
04009000800		220	255	0.1
04009000900		200	250	0.1
04009001000		10	15	0.1
04009001100		200	235	0.1
04009001200		20	25	0.1
